company_name,number_of_seat,departure_date,departure_time,duration_minutes,pickup_point,dropoff_point,price_original,price_discounted
Vân Anh Limousine,24,15-10-2025,08:00:00,180,Bến xe,Bến xe,230000,0
Vân Anh Limousine,24,15-10-2025,06:00:00,180,Bến xe,Bến xe,230000,0
Vân Anh Limousine,24,15-10-2025,09:00:00,180,Bến xe,Bến xe,230000,200000
Vân Anh Limousine,24,15-10-2025,04:30:00,180,Bến xe,Bến xe,230000,0
Vân Anh Limousine,24,15-10-2025,05:00:00,180,Bến xe,Bến xe,230000,200000
Vân Anh Limousine,24,15-10-2025,04:00:00,210,Bến xe,Văn phòng,230000,0
Vân Anh Limousine,24,15-10-2025,04:00:00,180,Bến xe,Văn phòng,230000,0
Vân Anh Limousine,24,15-10-2025,08:00:00,180,Bến xe,Bến xe,230000,200000
Vân Anh Limousine,24,15-10-2025,09:30:00,210,Bến xe,Văn phòng,230000,0
Vân Anh Limousine,24,15-10-2025,04:30:00,180,Bến xe,Văn phòng,230000,0
Vân Anh Limousine,24,15-10-2025,07:30:00,210,Bến xe,Văn phòng,230000,0
Vân Anh Limousine,24,15-10-2025,07:00:00,180,Bến xe,Bến xe,230000,0
Vân Anh Limousine,24,15-10-2025,09:00:00,180,Bến xe,Bến xe,230000,0
Vân Anh Limousine,24,15-10-2025,10:00:00,180,Bến xe,Bến xe,230000,200000
Vân Anh Limousine,24,15-10-2025,10:30:00,210,Bến xe,Văn phòng,230000,0
Vân Anh Limousine,24,15-10-2025,05:30:00,210,Bến xe,Văn phòng,230000,0
Vĩnh Quang,10,15-10-2025,15:30:00,205,Văn phòng,Văn phòng,170000,0
Vĩnh Quang,10,15-10-2025,05:30:00,205,Văn phòng,Văn phòng,170000,0
Vĩnh Quang,10,15-10-2025,13:30:00,205,Văn phòng,Văn phòng,170000,0
Vân Anh Limousine,24,15-10-2025,10:00:00,180,Bến xe,Bến xe,230000,0
Vĩnh Quang,10,15-10-2025,19:30:00,205,Văn phòng,Văn phòng,170000,0
Vân Anh Limousine,24,15-10-2025,06:00:00,180,Bến xe,Bến xe,230000,200000
Vân Anh Limousine,24,15-10-2025,04:30:00,210,Bến xe,Văn phòng,230000,0
